Старый мнемоник,Новый мнемоник
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
SP,PS
SP,PS
SP,PS
SP,PS
SPR,PS
SPCG,PS
SPDL,PS
SPLL,PS
SPRL,PS
CGSP,PS
DFRM,REZ
DPRM,REZ
AFMR,REZ
RMM5,REZ
MRES,REZ
MRES_SL,REZ
HICRS,REZ
ACRS,REZ
AHCRS,REZ
ASCRS,REZ
RMSF,REZ
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
MINV,MGZ
MINV,MGZ
MINV,MGZ
MRS1,MGZ
MRS2,MGZ
MR1F,MGZ
MR2F,MGZ
MNOR,MPZ
MNOR,MPZ
MNRL,MPZ
DLL,BK
HDLL,BK
DLL,BK
LL3,BK3
LL3,BK3
LL3,BK3
LL7,BK7
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
CLLS,BKM
MLR1,BKM
MLR2,BKM
RS,BKM
LLS,BKM
SLL,BKM
DSLL,BKM
FEFR,BKM
FEFE,BKM
MLR3,BKS
MSF1,BKS
CLLD,BKB
MLR4,BKB
RD,BKB
LLD,BKB
CLLD,BKB
DLL,BKB
DDLL,BKB
AFRS (AFCS),ALLS
HLLS,ALLS
HARS (HACS),ALLS
HAUS,ALLS
HLSU,ALLS
AFRM (AFCM),ALLM
AFRD (AFCD),ALLD
HLLD,ALLD
HARD (HACD),ALLD
HAUD,ALLD
HLDU,ALLD
MLL,BMK
CMLL,BMK
MLL,BMK
LLS,BMK
MLL,BMK
CMLL,BMK
MLL,BMK
MRRS,BMK
FMI,MLLS
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
CILS,IKM
RILS,RIKM
CIRM,IKS
СILM,IKS
CIPM,IKS
CIMR,IKS
RILM,IKS
CILM,IKS
CILM,IKS
ILM,RIKS
RILM,RIKS
RIPM,RIKS
ILM,RIKS
RILM,RIKS
CIRD,IKB
СILD,IKB
CIPD,IKB
CIDR,IKB
RILD,IKB
СILD,IKB
СILD,IKB
ILD,RIKB
RILD,RIKB
RIPD,RIKB
ILD,RIKB
RILD,RIKB
M0C1,I1A
M1C1,I1A
M2C1,I1A
M4C1,I1A
AOCO10,I1A
AOCB10,I1A
ATCO10,I1A
ATCB10,I1A
AFOCO10,I1A
AFCB10,I1A
AECO10,I1A
M0R1,RI1
M1R1,RI1
M2R1,RI1
M4R1,RI1
AO10,RI1
AT10,RI1
AF10,RI1
AE10,RI1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
M0C2,I2A
M1C2,I2A
M2C2,I2A
M4C2,I2A
AOCO20,I2A
AOCB20,I2A
ATCO20,I2A
ATCB20,I2A
AFOCO20,I2A
AFCB20,I2A
AECO20,I2A
M0R2,RI2
M1R2,RI2
M2R2,RI2
M4R2,RI2
AO20,RI2
AT20,RI2
AF20,RI2
AE20,RI2
M0C3,I3A
M1C3,I3A
M2C3,I3A
M4C3,I3A
AOCO30,I3A
AOCB30,I3A
ATCO30,I3A
ATCB30,I3A
AFOCO30,I3A
AFCB30,I3A
AECO30,I3A
M0R3,RI3
M1R3,RI3
M2R3,RI3
M4R3,RI3
AO30,RI3
AT30,RI3
AF30,RI3
AE30,RI3
M0C4,I4A
M1C4,I4A
M2C4,I4A
M4C4,I4A
AOCO60,I4A
AOCB60,I4A
ATCO60,I4A
ATCB60,I4A
AFOCO60,I4A
AFCB60,I4A
AECO60,I4A
M0R4,RI4
M1R4,RI4
M2R4,RI4
M4R4,RI4
AO60,RI4
AT60,RI4
AF60,RI4
AE60,RI4
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
M0C5,I5A
M1C5,I5A
M2C5,I5A
M4C5,I5A
AOCO90,I5A
AOCB90,I5A
ATCO90,I5A
ATCB90,I5A
AFOCO90,I5A
AFCB90,I5A
AECO90,I5A
M0R5,RI5
M1R5,RI5
M2R5,RI5
M4R5,RI5
AO90,RI5
AT90,RI5
AF90,RI5
AE90,RI5
M0C6,I6A
M1C6,I6A
M2C6,I6A
M4C6,I6A
M0R6,RI6
M1R6,RI6
M2R6,RI6
M4R6,RI6
AFCS,AIKM
AFCSC,AIKM
AFRS,ARIKM
AFRSC,ARIKM
AFCM,AIKS
AFCMC,AIKS
AFRM,ARIKS
AFRMC,ARIKS
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
AFCD,AIKB
AFCDC,AIKB
AFRD,ARIKB
AFRDC,ARIKB
P1UP,ориг. обознач.1
P1DN,ориг. обознач.1
P2UP,ориг. обознач.1
P2DN,ориг. обознач.1
EWN,ориг. обознач.1
EWF,ориг. обознач.1
A1UP,ориг. обознач.1
A1DN,ориг. обознач.1
A2UP,ориг. обознач.1
A2DN,ориг. обознач.1
EWN,ориг. обознач.1
EWF,ориг. обознач.1
EPS,ориг. обознач.1
SEPS,ориг. обознач.1
PSUP_R,ориг. обознач.1
PSDN_R,ориг. обознач.1
PSHF_R,ориг. обознач.1
EPS,ориг. обознач.1
SEPS,ориг. обознач.1
EWA,ориг. обознач.1
ATUP_R,ориг. обознач.1
ATDN_R,ориг. обознач.1
ATTN_R,ориг. обознач.1
EWA,ориг. обознач.1
RPA,ориг. обознач.1
EWP,ориг. обознач.1
SEWP,ориг. обознач.1
PSR,ориг. обознач.1
PSRD,ориг. обознач.1
PSRU,ориг. обознач.1
EWP,ориг. обознач.1
SEWP,ориг. обознач.1
RAA,ориг. обознач.1
ATR,ориг. обознач.1
ATRD,ориг. обознач.1
ATRU (CATR),ориг. обознач.1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
EWC,ориг. обознач.1
SEWC,ориг. обознач.1
EWC,ориг. обознач.1
SEWC,ориг. обознач.1
UL1P,ориг. обознач.1
UU1P,ориг. обознач.1
AN09,ориг. обознач.1
AF09,ориг. обознач.1
AN12,ориг. обознач.1
AF12,ориг. обознач.1
AN18,ориг. обознач.1
AF18,ориг. обознач.1
EXN,ориг. обознач.1
EXF,ориг. обознач.1
P09,ориг. обознач.1
P12,ориг. обознач.1
